Statement,Year,Amount_Billion_EGP
Total Public Revenues,2021/2022,1365
Total Public Revenues,2022/2023,1518
Total Public Revenues,2023/2024,2100
Total Public Revenues,2024/2025,2600
Total Public Revenues,2025/2026,3150
Total Public Revenues,2026/2027,4175
Total Expenditures,2021/2022,1839
Total Expenditures,2022/2023,2139
Total Expenditures,2023/2024,3061
Total Expenditures,2024/2025,3800
Total Expenditures,2025/2026,4600
Total Expenditures,2026/2027,5100
Tax Revenues,2021/2022,983
Tax Revenues,2022/2023,1168
Tax Revenues,2023/2024,1525
Tax Revenues,2024/2025,2000
Tax Revenues,2025/2026,2700
Tax Revenues,2026/2027,3529
Wages & Compensation,2021/2022,362
Wages & Compensation,2022/2023,400
Wages & Compensation,2023/2024,470
Wages & Compensation,2024/2025,575
Wages & Compensation,2025/2026,679
Wages & Compensation,2026/2027,822.8
Debt Service (Interest),2021/2022,567
Debt Service (Interest),2022/2023,690
Debt Service (Interest),2023/2024,1120
Debt Service (Interest),2024/2025,1500
Debt Service (Interest),2025/2026,1800
Debt Service (Interest),2026/2027,2100
Subsidies & Social Benefits,2021/2022,325
Subsidies & Social Benefits,2022/2023,356
Subsidies & Social Benefits,2023/2024,530
Subsidies & Social Benefits,2024/2025,635
Subsidies & Social Benefits,2025/2026,730
Subsidies & Social Benefits,2026/2027,836.8
Government Investments,2021/2022,280
Government Investments,2022/2023,310
Government Investments,2023/2024,380
Government Investments,2024/2025,490
Government Investments,2025/2026,520
Government Investments,2026/2027,553.7
